"id","activitat_id","userid","datesubmitted","grade","nevaluations"
1270,3,227,1663074780,100,1
218,3,229,1662996260,100,1
1793,3,241,1663089090,100,1
31,3,279,1662989729,100,1
1779,3,292,1663088920,100,1
1307,3,295,1663077644,100,1
1854,3,335,1663089928,100,1
1918,3,339,1663092030,100,1
818,3,340,1663017735,100,1
270,3,346,1663000585,100,1
1596,3,347,1663086024,100,1
1642,3,369,1663087163,100,1
2417,3,370,1663138879,100,2
1546,3,372,1663084052,100,1
338,3,382,1663002376,100,1
2416,3,427,1663138832,100,4
1544,3,431,1663083923,100,1
1398,3,437,1663080837,100,2
2845,3,441,1663179363,100,1
2177,3,451,1663100827,100,1
2862,3,453,1663182189,100,1
1445,3,454,1663081910,100,4
1704,3,469,1663087995,100,1
41740,3,481,1664020877,100,3
1513,3,485,1663083328,100,2
287943,3,500,1673941935,100,1
16952,3,506,1663601291,100,2
771,3,520,1663017020,100,1
793,3,521,1663017328,100,1
2610,3,591,1663152638,100,1
2723,3,641,1663168760,100,2
1122,3,721,1663062943,100,1
26924,3,723,1663753176,100,1
1120,3,724,1663062921,100,1
112465,3,763,1665420315,100,2
1666,3,779,1663087529,100,1
2860,3,780,1663182074,100,1
3686,3,781,1663241561,100,4
46077,3,782,1664193843,100,1
285578,3,787,1673864733,100,4
2981,3,789,1663201231,100,1
1857,3,790,1663089964,100,1
272201,3,792,1671280689,100,2
1127,3,793,1663063194,100,1
2714,3,794,1663167952,100,1
17919,3,797,1663609048,100,2
2776,3,798,1663174697,100,1
1136,3,801,1663063336,100,1
22758,3,805,1663688880,100,1
29766,3,807,1663775057,100,5
4083,3,808,1663256685,100,1
297275,3,823,1675261333,100,1
3742,3,858,1663242552,100,1
3405,3,859,1663234514,100,2
3468,3,860,1663235310,100,1
3678,3,861,1663241391,100,1
11573,3,862,1663532938,100,1
9169,3,864,1663433089,100,1
3263,3,870,1663230597,100,3
2676,3,871,1663165588,100,1
1863,3,872,1663090131,100,1
2120,3,873,1663098535,100,1
3404,3,874,1663234504,100,1
2454,3,875,1663142733,100,1
2828,3,876,1663177358,100,1
2778,3,877,1663174915,100,6
58906,3,878,1664403293,100,2
1225,3,880,1663070137,100,1
11096,3,881,1663525648,100,2
3393,3,882,1663234287,100,2
45525,3,884,1664184033,100,1
2857,3,885,1663181154,100,4
168148,3,886,1666277656,100,3
21631,3,887,1663674802,100,1
13734,3,889,1663580478,100,4
2721,3,890,1663168642,100,1
14089,3,891,1663581572,100,2
2969,3,892,1663192930,100,3
2764,3,893,1663173454,100,1
50389,3,894,1664290831,100,1
2044,3,906,1663094789,100,1
1696,3,987,1663087927,100,2
1927,3,991,1663092270,100,1
4011,3,994,1663255178,100,1
201656,3,998,1667031078,100,2
17061,3,1003,1663602216,100,2
1938,3,1007,1663092552,100,1
3407,3,1017,1663234535,100,1
2795,3,1018,1663175745,100,2
94741,3,1019,1665082458,100,4
41577,3,1023,1664017286,100,6
3671,3,1025,1663241304,100,1
2183,3,1033,1663101127,100,1
6445,3,1034,1663316241,100,5
24441,3,1044,1663706960,100,1
124644,3,1047,1665649752,100,1
13364,3,1050,1663578978,100,1
2444,3,1068,1663140285,100,1
2649,3,1078,1663162803,100,2
45835,3,1215,1664189029,100,1
49327,3,1221,1664275767,100,1
13788,3,1236,1663580606,100,2
189733,3,1260,1666717670,100,4
280386,3,1317,1673415097,100,1
152987,3,1369,1666084505,100,2
166699,3,1384,1666254625,100,4
292531,3,1391,1674660998,100,3
1283,4,227,1663076235,100,1
246,4,229,1662999183,100,3
2419,4,241,1663138969,100,5
37,4,279,1662990053,100,3
2677,4,292,1663165604,100,3
1765,4,295,1663088753,100,4
1905,4,335,1663091681,100,2
17715,4,339,1663606666,100,4
846,4,340,1663018466,100,2
337,4,346,1663002292,100,4
1657,4,347,1663087416,100,1
1712,4,369,1663088052,100,4
2433,4,370,1663139405,100,3
1560,4,372,1663084614,100,4
1298,4,382,1663076824,100,2
2420,4,427,1663139031,100,1
1817,4,431,1663089473,100,2
1410,4,437,1663081255,100,2
245569,4,441,1668424322,100,2
13807,4,451,1663580663,100,3
5246,4,453,1663269821,100,1
1942,4,454,1663092618,100,1
1956,4,469,1663093356,100,1
41793,4,481,1664022563,100,2
1539,4,485,1663083693,100,4
287944,4,500,1673942054,100,1
29903,4,506,1663775858,100,10
894,4,520,1663023184,100,2
1494,4,521,1663083021,100,1
2612,4,591,1663152855,100,2
2729,4,641,1663168993,100,5
1823,4,721,1663089533,100,1
26947,4,723,1663753299,100,1
1855,4,724,1663089935,100,3
112483,4,763,1665420444,100,1
1689,4,779,1663087857,100,2
20000,4,780,1663661643,100,4
3703,4,781,1663241840,100,5
46091,4,782,1664194023,100,4
285595,4,787,1673865107,100,3
2988,4,789,1663201571,100,1
2087,4,790,1663096679,100,5
1632,4,792,1663086802,100,2
1510,4,793,1663083310,100,3
3988,4,794,1663254849,100,7
18024,4,797,1663609875,100,2
2875,4,798,1663183146,100,2
1364,4,801,1663080032,100,2
22805,4,805,1663689222,100,1
29789,4,807,1663775263,100,1
23349,4,808,1663695186,100,1
297276,4,823,1675261450,100,1
3752,4,858,1663242849,100,2
3443,4,859,1663234958,100,1
3508,4,860,1663236089,100,7
3734,4,861,1663242351,100,4
13534,4,862,1663579833,100,5
9173,4,864,1663433588,100,2
3266,4,870,1663230768,100,1
3237,4,871,1663229908,100,9
1896,4,872,1663091337,100,1
2161,4,873,1663100118,100,4
3419,4,874,1663234631,100,1
2461,4,875,1663143041,100,3
2902,4,876,1663186247,100,2
2804,4,877,1663176023,100,8
58930,4,878,1664404355,100,3
1802,4,880,1663089199,100,2
14870,4,881,1663584701,100,5
3429,4,882,1663234735,100,7
244461,4,884,1668363229,100,2
2859,4,885,1663181833,100,2
224122,4,886,1667549449,100,1
54365,4,887,1664358355,100,3
13838,4,889,1663580770,100,1
21052,4,890,1663670276,100,9
14249,4,891,1663582034,100,1
2973,4,892,1663193775,100,2
285042,4,893,1673820982,100,7
50566,4,894,1664292680,100,3
31621,4,906,1663791951,100,8
1768,4,987,1663088801,100,1
4726,4,991,1663260573,100,2
4023,4,994,1663255499,100,1
208651,4,998,1667208821,100,3
17242,4,1003,1663603953,100,3
145122,4,1007,1665997584,100,3
2801,4,1018,1663175941,100,3
94754,4,1019,1665082819,100,2
41583,4,1023,1664017356,100,1
3719,4,1025,1663242076,100,5
2193,4,1033,1663101571,100,1
6458,4,1034,1663316514,100,2
24460,4,1044,1663707241,100,1
124675,4,1047,1665650095,100,3
153238,4,1050,1666086415,100,2
2448,4,1068,1663140450,100,3
2654,4,1078,1663163620,100,5
45863,4,1215,1664189379,100,3
49393,4,1221,1664276643,100,1
13854,4,1236,1663580812,100,2
189752,4,1260,1666717873,100,2
280388,4,1317,1673415256,100,2
153361,4,1369,1666087212,100,3
166703,4,1384,1666254750,100,2
292540,4,1391,1674662417,100,3
8849,5,227,1663415103,100,2
10201,5,229,1663507185,100,2
13562,5,241,1663579920,100,1
13252,5,279,1663578317,100,3
3969,5,292,1663254178,100,3
13584,5,295,1663580032,100,2
9259,5,335,1663437193,100,2
13582,5,339,1663580015,100,3
2235,5,340,1663102910,100,6
8840,5,346,1663414897,100,2
11170,5,347,1663526580,100,1
13667,5,369,1663580299,100,2
13421,5,370,1663579301,100,4
10629,5,372,1663517159,100,2
13569,5,382,1663579935,100,2
9851,5,427,1663496272,100,2
13378,5,431,1663579045,100,1
13342,5,437,1663578881,100,2
13712,5,441,1663580436,100,6
13571,5,451,1663579940,100,1
13476,5,453,1663579493,100,2
13436,5,454,1663579345,100,1
13743,5,469,1663580503,100,2
37967,5,481,1663921066,100,3
13426,5,485,1663579318,100,3
13576,5,500,1663579971,100,1
14353,5,506,1663582317,100,3
1755,5,520,1663088657,100,2
13475,5,521,1663579486,100,3
43992,5,591,1664117587,100,2
35240,5,641,1663859514,100,1
20146,5,721,1663663485,100,2
20494,5,723,1663665759,100,1
20554,5,724,1663666103,100,3
