"userid","aula_id","P_Grade","F_Grade","R_Grade","notaFinal"
176,92,"","9.25","",-99
179,92,"","7.75","",-99
168,92,"","7.75","",-99
401,92,"","3.50","8,25",-99
482,92,"","7.00","",-99
1174,92,"","3.50","8,5",-99
525,92,"","6.00","",-99
175,92,"","9.00","",-99
368,92,"","6.50","",-99
1029,92,"","1.75","4",-99
181,92,"","6.00","",-99
171,92,"","9.75","",-99
128,92,"","4.00","7,25",-99
188,92,"","8.25","",-99
195,92,"","2.00","3",-99
81,92,"","7.25","",-99
73,92,"","6.25","",-99
154,92,"","7.50","",-99
447,92,"","8.00","",-99
522,92,"","3.75","3",-99
478,92,"","3.75","6,75",-99
172,92,"","8.00","",-99
164,92,"","0.00","",-99
433,92,"","1.25","5,25",-99
194,92,"","8.75","",-99
180,92,"","5.00","",-99
191,92,"","3.00","7,25",-99
290,92,"","6.75","",-99
90,92,"","5.75","",-99
187,92,"","6.75","",-99
328,92,"","6.50","",-99
1035,92,"","6.75","",-99
174,92,"","6.75","",-99
190,92,"","6.00","",-99
155,92,"","5.75","",-99
330,92,"","9.25","",-99
1238,92,"","2.00","",-99
166,92,"","7.50","",-99
170,92,"","5.00","",-99
445,92,"","7.75","",-99
184,92,"","8.25","",-99
517,92,"","4.00","",-99
169,92,"","6.00","",-99
192,92,"","9.00","",-99
167,92,"","2.75","4",-99
182,92,"","5.75","",-99
178,92,"","8.00","",-99
158,92,"","6.75","",-99
173,92,"","8.50","",-99
1164,92,"","6.25","",-99
502,92,"","3.75","8,25",-99
232,92,"","5.00","",-99
526,92,"","6.50","",-99
424,92,"","8.00","",-99
156,92,"","9.00","",-99
495,92,"","5.25","",-99
183,92,"","5.50","",-99
165,92,"","7.25","",-99
446,92,"","4.00","6,75",-99
298,92,"","7.75","",-99
1069,92,"","3.75","",-99
186,92,"","8.75","",-99
1201,92,"","0.00","2,5",-99
185,92,"","6.25","",-99
177,92,"","7.50","",-99
1165,92,"","7.50","",-99
408,92,"","8.00","",-99
242,92,"","3.50","6",-99
505,92,"","8.50","",-99
499,92,"","0.75","1,25",-99
524,92,"","3.25","8,25",-99
221,92,"","8.25","",-99
1030,92,"","0.25","",-99
426,92,"","8.00","",-99
291,92,"","1.50","2,5",-99
281,92,"","8.00","",-99
365,92,"","8.25","",-99
486,92,"","2.75","5,25",-99
528,92,"","5.00","",-99
649,92,"","1.25","6,5",-99
1016,92,"","5.25","",-99
217,92,"","7.25","",-99
976,92,"","1.50","4",-99
349,92,"","7.75","",-99
288,92,"","1.75","5,5",-99
473,92,"","4.00","3,25",-99
341,92,"","6.25","",-99
313,92,"","8.50","",-99
331,92,"","5.00","",-99
1324,92,"","2.50","",-99
57,92,"","1.00","",-99
96,92,"","3.00","6,75",-99
868,92,"","3.50","1,25",-99
193,92,"","4.00","6,75",-99
345,92,"","7.00","",-99
238,92,"","8.75","",-99
287,92,"","5.00","",-99
560,92,"","3.00","7,5",-99
1172,92,"","0.75","1,5",-99
289,92,"","5.25","",-99
1059,92,"","7.00","",-99
910,92,"","0.00","",-99
297,92,"","6.75","",-99
82,92,"","4.00","6,75",-99
343,92,"","2.00","2,75",-99
1388,92,"","3.50","6",-99
537,92,"","4.00","5,5",-99
342,92,"","1.75","",-99
464,92,"","7.25","",-99
1000,92,"","2.00","6,25",-99
491,92,"","2.00","1,75",-99
450,92,"","2.50","5",-99
303,92,"","6.50","",-99
77,92,"","3.75","5",-99
475,92,"","0.00","",-99
1053,92,"","3.50","2,25",-99
947,92,"","5.00","",-99
65,92,"","7.25","",-99
1040,92,"","0.25","0",-99
466,92,"","7.00","",-99
334,92,"","4.00","5,75",-99
459,92,"","0.75","6,75",-99
76,92,"","6.75","",-99
35,92,"","5.00","",-99
219,92,"","5.25","",-99
329,92,"","4.00","4",-99
373,92,"","8.75","",-99
1024,92,"","1.75","",-99
913,92,"","3.00","3,25",-99
527,92,"","0.00","",-99
1051,92,"","7.00","",-99
371,92,"","6.75","",-99
509,92,"","0.75","4",-99
470,92,"","1.00","5",-99
367,92,"","7.00","",-99
1036,92,"","0.75","6,5",-99
1005,92,"","6.00","",-99
425,92,"","7.00","",-99
224,92,"","0.75","",-99
310,92,"","2.50","1,25",-99
273,92,"","5.00","",-99
92,92,"","5.00","",-99
800,92,"","5.00","",-99
467,92,"","5.50","",-99
1166,92,"","6.75","",-99
1305,92,"","1.50","6,25",-99
745,92,"","2.25","5,5",-99
228,92,"","7.50","",-99
223,92,"","5.25","",-99
315,92,"","6.50","",-99
1241,92,"","1.75","3",-99
321,92,"","5.75","",-99
277,92,"","8.75","",-99
318,92,"","6.50","",-99
271,92,"","4.00","5,75",-99
144,92,"","6.00","",-99
530,92,"","3.00","6,75",-99
299,92,"","7.75","",-99
275,92,"","8.00","",-99
707,92,"","3.00","5,5",-99
278,92,"","7.00","",-99
300,92,"","6.00","",-99
272,92,"","0.00","0",-99
304,92,"","8.75","",-99
314,92,"","7.00","",-99
1259,92,"","5.00","",-99
305,92,"","7.00","",-99
1192,92,"","3.50","5,25",-99
697,92,"","0.25","",-99
86,92,"","5.50","",-99
733,92,"","6.25","",-99
269,92,"","8.00","",-99
493,92,"","5.75","",-99
980,92,"","5.00","",-99
294,92,"","0.75","1",-99
458,92,"","5.25","",-99
308,92,"","6.75","",-99
302,92,"","8.00","",-99
267,92,"","7.00","",-99
843,92,"","7.75","",-99
276,92,"","0.75","1,5",-99
404,92,"","3.75","4",-99
21,92,"","3.25","",-99
777,92,"","4.00","4",-99
432,92,"","6.00","",-99
324,92,"","6.25","",-99
306,92,"","5.50","",-99
456,92,"","4.00","5,5",-99
283,92,"","7.25","",-99
1211,92,"","4.00","6,25",-99
1193,92,"","5.00","",-99
311,92,"","0.00","2,25",-99
268,92,"","6.25","",-99
820,92,"","7.75","",-99
309,92,"","0.25","0,5",-99
354,92,"","6.50","",-99
307,92,"","4.00","6,5",-99
1062,92,"","1.75","5,5",-99
1197,92,"","5.50","",-99
477,92,"","0.00","",-99
320,92,"","1.75","5",-99
1021,92,"","3.25","9",-99
472,92,"","0.00","",-99
1177,92,"","7.50","",-99
1189,92,"","5.50","",-99
70,92,"","1.50","6,25",-99
319,92,"","8.25","",-99
196,92,"","4.25","8,25",-99
523,92,"","4.00","5,25",-99
533,92,"","5.25","",-99
814,92,"","9.50","",-99
704,92,"","6.75","",-99
1027,92,"","6.50","",-99
435,92,"","6.50","",-99
421,92,"","5.75","",-99
336,92,"","0.50","3,75",-99
1176,92,"","1.75","7",-99
434,92,"","4.00","5,5",-99
1345,92,"","3.25","3,25",-99
672,92,"","4.25","",-99
534,92,"","9.00","",-99
83,92,"","5.00","",-99
385,92,"","5.00","",-99
1307,92,"","0.00","",-99
1022,92,"","6.25","",-99
280,92,"","2.50","3",-99
518,92,"","2.00","4",-99
322,92,"","5.25","",-99
657,92,"","5.00","",-99
462,92,"","0.00","",-99
1013,92,"","0.50","2,5",-99
501,92,"","5.50","",-99
438,92,"","6.25","",-99
443,92,"","3.75","7",-99
1195,92,"","7.75","",-99
317,92,"","6.75","",-99
440,92,"","5.25","",-99
487,92,"","1.00","2,5",-99
327,92,"","6.25","",-99
326,92,"","9.25","",-99
439,92,"","4.00","6",-99
535,92,"","6.00","",-99
452,92,"","8.50","",-99
284,92,"","2.50","4,25",-99
344,92,"","1.75","3,75",-99
1066,92,"","1.25","5",-99
423,92,"","7.50","",-99
448,92,"","6.75","",-99
497,92,"","8.25","",-99
1187,92,"","0.00","",-99
660,92,"","0.00","",-99
1830,143,"","2.6","5,53",-99
1915,143,"","6.9","",-99
2071,143,"","4","6,28",-99
2158,143,"","0.8","1,15",-99
1858,143,"","6.3","",-99
2033,143,"","2.25","6,98",-99
2166,143,"","3.3","5,78",-99
1820,143,"","7.3","",-99
2013,143,"","5.65","",-99
1926,143,"","9","",-99
1843,143,"","8.75","",-99
1825,143,"","3.3","5,4",-99
1842,143,"","3.05","5,1",-99
1957,143,"","8.44","",-99
1882,143,"","9.73","",-99
1833,143,"","4.4","4,48",-99
1835,143,"","5.85","",-99
2230,143,"","5","",-99
1610,143,"","9.2","",-99
522,143,"","5","",-99
1961,143,"","8.84","",-99
1839,143,"","5.75","",-99
1831,143,"","7.88","",-99
1841,143,"","3.45","6",-99
1832,143,"","2.45","1,33",-99
1859,143,"","9.35","",-99
1844,143,"","7.95","",-99
1827,143,"","0.9","7,1",-99
1837,143,"","4","5,3",-99
1886,143,"","5.51","",-99
2245,143,"","1.95","",-99
1824,143,"","6.85","",-99
1883,143,"","0","",-99
1973,143,"","9.25","",-99
1826,143,"","8.01","",-99
1606,143,"","8","",-99
1854,143,"","5","",-99
1829,143,"","5.46","",-99
1828,143,"","2.55","3,55",-99
2047,143,"","5","",-99
2034,143,"","0","",-99
1607,143,"","3.36","2,85",-99
1612,143,"","6","",-99
1987,143,"","8.1","",-99
2195,143,"","8.4","",-99
1602,143,"","9.29","",-99
1851,143,"","5","",-99
1836,143,"","3.05","5,03",-99
2075,143,"","4.1","1,8",-99
2160,143,"","1.65","5,18",-99
1821,143,"","4.5","6,7",-99
1846,143,"","5.6","",-99
1847,143,"","5.9","6,63",-99
1848,143,"","3.75","6,23",-99
1964,143,"","6.8","",-99
1852,143,"","7.82","",-99
2004,143,"","0.66","2,48",-99
1604,143,"","6.05","",-99
1849,143,"","8.05","",-99
2068,143,"","1.8","6,15",-99
1850,143,"","3.76","3,85",-99
2055,143,"","5.75","",-99
1838,143,"","8.65","",-99
2070,143,"","4.1","3,05",-99
1977,143,"","5.85","",-99
2051,143,"","5","",-99
